# coding=utf-82018-07-24 15:18:20,037 Run.py run[line:42] INFO start run testcase...
2018-07-24 15:24:59,600 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,600 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,602 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.602907
2018-07-24 15:24:59,602 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,602 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,606 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.606908
2018-07-24 15:24:59,606 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,606 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,610 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.610908
2018-07-24 15:24:59,611 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,611 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,614 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.614908
2018-07-24 15:24:59,614 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,614 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
